snapshot_id,topology_id,timestep,time_of_day,diurnal_factor,flash_event,flash_multiplier,traffic_profile,network_load_mbps,avg_utilization,max_utilization,queue_model
topology_096_t00,96,0,0.0,0.7,1,3.249853299610661,bulk,20428.18777896238,0.5252716006125933,1.2,mm1
topology_096_t01,96,1,2.0,0.7301442841485013,0,1.0,video,5325.219551062662,0.2110203536674041,1.2,mm1
topology_096_t02,96,2,4.0,0.8125,0,1.0,video,5958.186384461103,0.2319627664309915,1.2,mm1
topology_096_t03,96,3,6.0,0.9249999999999999,1,2.640070406326292,bulk,22683.98386747094,0.5518924305934052,1.2,mm1
topology_096_t04,96,4,8.0,1.0374999999999999,0,1.0,web,3816.3845313289585,0.15855036977869608,1.2,mm1
topology_096_t05,96,5,10.0,1.1198557158514988,0,1.0,video,8218.828641830993,0.29518001498447555,1.2,mm1
topology_096_t06,96,6,12.0,1.15,0,1.0,video,8378.310343721196,0.29883533935727413,1.2,mm1
topology_096_t07,96,7,14.0,1.1198557158514988,0,1.0,video,8312.265728802806,0.29684895700222297,1.2,mm1
topology_096_t08,96,8,16.0,1.0375,0,1.0,video,7635.236388101799,0.2814835943278332,1.2,mm1
topology_096_t09,96,9,18.0,0.925,0,1.0,video,6801.125365453326,0.2562097579348436,1.2,mm1
topology_096_t10,96,10,20.0,0.8124999999999999,1,2.9332703674136567,web,8833.453225240886,0.30861044698479,1.2,mm1
topology_096_t11,96,11,22.0,0.7301442841485013,0,1.0,web,2682.3902130158517,0.11882674735902199,1.2,mm1
