snapshot_id,topology_id,timestep,time_of_day,diurnal_factor,flash_event,flash_multiplier,traffic_profile,network_load_mbps,avg_utilization,max_utilization,queue_model
topology_110_t00,110,0,0.0,0.7,0,1.0,web,1206.6375229464315,0.14522963946544862,1.2,mm1
topology_110_t01,110,1,2.0,0.7301442841485013,0,1.0,bulk,3310.9298243279272,0.303047948594979,1.2,mm1
topology_110_t02,110,2,4.0,0.8125,0,1.0,video,2878.2415454193106,0.2733839895660623,1.2,mm1
topology_110_t03,110,3,6.0,0.9249999999999999,0,1.0,video,3236.6853295830706,0.29792533854388376,1.2,mm1
topology_110_t04,110,4,8.0,1.0374999999999999,1,1.8446193313012764,web,3411.8930237013687,0.3080770241420445,1.2,mm1
topology_110_t05,110,5,10.0,1.1198557158514988,0,1.0,web,1994.0839164828021,0.20854658102665205,1.2,mm1
topology_110_t06,110,6,12.0,1.15,0,1.0,bulk,5271.519473715323,0.4114454494149505,1.2,mm1
topology_110_t07,110,7,14.0,1.1198557158514988,0,1.0,bulk,4747.511782268224,0.3896557064090328,1.2,mm1
topology_110_t08,110,8,16.0,1.0375,0,1.0,video,3586.870251189698,0.31786825976268446,1.2,mm1
topology_110_t09,110,9,18.0,0.925,0,1.0,bulk,4098.119755640982,0.35931849995763265,1.2,mm1
topology_110_t10,110,10,20.0,0.8124999999999999,0,1.0,web,1416.8778308256497,0.16287316859620848,1.2,mm1
topology_110_t11,110,11,22.0,0.7301442841485013,0,1.0,bulk,3236.028644387702,0.29988840643291387,1.2,mm1
