snapshot_id,topology_id,timestep,edge_id,u,v,bandwidth_mbps,load_mbps,utilization,queue_length_pkts,latency_ms,propagation_delay_ms,link_reliability,cost_metric,is_bottleneck,is_inter_domain
topology_074_t00,74,0,0,0,5,645.69898167617,36.68573725651153,0.05681554144824424,0.00342245434685566,2.97029141859344,2.9701981274508107,0.9813344636614034,3.744552763572506,0,False
topology_074_t00,74,0,1,0,7,276.43974101902006,34.60427856747007,0.1251783786220852,0.01791179606394866,2.2105233629967733,2.210005745037219,0.9763770628596006,4.018718190494177,0,False
topology_074_t00,74,0,2,0,18,983.3980742126811,5.319062744932446,0.005408860241251687,2.9414870030402282e-05,3.4488599895795207,3.4488544594943455,0.9554296176997646,3.9572955609275624,0,False
topology_074_t00,74,0,3,1,13,631.7670439007501,12.468686421682737,0.019736209006244957,0.00039736033251142093,7.303455277993244,7.3034234093329,0.971917359759596,8.09485437241832,0,False
topology_074_t00,74,0,4,1,16,296.2587841491182,69.5559624648041,0.23478109742661324,0.07203450349105625,2.523771092623642,2.5227354588556885,0.9671113706493305,4.2104491293078405,0,False
topology_074_t00,74,0,5,2,6,682.004597087332,98.78674112074653,0.14484761765923507,0.024534612514469277,3.064309141259358,3.064060781892138,0.9421961640032555,3.797193670050624,0,False
topology_074_t00,74,0,6,2,11,988.2091803031486,49.78473536149255,0.05037874202526666,0.002672663050384134,6.704786568777149,6.704732884389134,0.9701642101033695,7.210698635331275,0,False
topology_074_t00,74,0,7,2,14,388.61929965395746,283.74199627982125,0.730128422681212,1.9753377473213516,3.5682542940850515,3.561292554993834,0.9822617540589119,4.8478987540303216,0,False
topology_074_t00,74,0,8,2,15,820.1548333844436,207.53980915183917,0.25304954711466765,0.08572733713138073,3.3233073374826008,3.322894272936181,0.9545872828227651,3.93253525735458,0,False
topology_074_t00,74,0,9,2,17,170.59125492050373,81.06319896083909,0.47518965141920605,0.4302605797056688,3.6142144525518103,3.6089067348053945,0.9443576067659748,6.53988933548444,0,False
topology_074_t00,74,0,10,2,21,865.7556557683323,85.22055694291709,0.09843488330120857,0.010747339344718393,4.898671926098982,4.8985458140465585,0.9641212976295062,5.476075971278122,0,False
topology_074_t00,74,0,11,2,64,76.00949190021349,600.0635678343941,1.2,198.00499999999982,60.087554010789106,21.069459940889963,0.9579680816169026,27.64758574465679,1,True
topology_074_t00,74,0,12,3,7,668.0045139538919,3.363750305539389,0.0050355203225042385,2.5484794117044402e-05,3.9473014723693787,3.94729389606561,0.9488082952092717,4.695791832165652,0,False
topology_074_t00,74,0,13,3,8,287.5160140637323,29.460385010545483,0.10246519696122088,0.011697726431058698,2.3819142902282446,2.381517223916081,0.9892001548397535,4.120550792631204,0,False
topology_074_t00,74,0,14,3,9,736.3574221896349,68.12159366371424,0.09251158691542435,0.009430857287224112,1.555010447832619,1.5548720063079862,0.9683434731465473,2.2338900822217163,0,False
topology_074_t00,74,0,15,3,10,943.0712971118159,3.197259896909676,0.0033902631823292478,1.1532984297503447e-05,5.464232411226324,5.464228804079996,0.9581922739147948,5.99441141225741,0,False
topology_074_t00,74,0,16,3,14,671.8564075315951,60.52313204974516,0.0900834335600185,0.008918427580357212,3.044460601575837,3.0443132458908564,0.9802731628389242,3.7885198864690173,0,False
topology_074_t00,74,0,17,3,15,708.5296130703498,132.40101026159488,0.18686729223334353,0.042944263061968205,4.114538748666289,4.114214398701156,0.9535189610195556,4.819901205260017,0,False
topology_074_t00,74,0,18,3,16,547.3221432665368,47.140159581654274,0.08612872722508834,0.008117289463415249,3.8035946576054935,3.803422462824325,0.9677215858710009,4.716961237294314,0,False
topology_074_t00,74,0,19,3,19,978.5939918666071,25.646258716283448,0.026207251351875568,0.0007053041053898452,4.039036849229056,4.039009347981674,0.9711618784118874,4.549946472218745,0,False
topology_074_t00,74,0,20,4,7,755.0307887063551,33.72606182606005,0.0446684589960168,0.0020885641721636768,3.3720412113143325,3.3719792840077014,0.9801249300466034,4.034203934285451,0,False
topology_074_t00,74,0,21,4,13,444.52036381832806,7.842741630174945,0.017643154889030486,0.0003168715278847141,5.723151697062361,5.723111293904534,0.9965133693508662,6.84791915581015,0,False
topology_074_t00,74,0,22,4,16,982.4238839393746,17.34412994125974,0.01765442618486874,0.00031728016313700436,1.971900698072106,1.9718824048418195,0.9731801360207536,2.48082768617504,0,False
topology_074_t00,74,0,23,4,21,166.29524627491043,42.68932767347264,0.2567080456581478,0.08865832640954117,3.9349358912217522,3.9328590647351023,0.949740162903226,6.939559563999085,0,False
topology_074_t00,74,0,24,5,8,247.97409232120626,36.58570644171079,0.1475384226603823,0.025534976284850762,1.0006537306989902,0.9999557811780335,0.9402697548546092,3.016295453277081,0,False
topology_074_t00,74,0,25,5,10,761.8411972286129,35.49523878635652,0.0465913879631074,0.0022768384981242335,2.7208956820525545,2.7208315371538028,0.9918304935435592,3.377136291765229,0,False
topology_074_t00,74,0,26,5,14,431.53335569339373,111.64099337719134,0.2587076801926587,0.09028781494466542,1.5225496744215976,1.5217409408891074,0.9714762524683797,2.6803999261177074,0,False
topology_074_t00,74,0,27,5,19,181.5270700650164,1.965401252521121,0.010827042224706132,0.00011850793373811476,4.919732603781088,4.919672306712697,0.9587068155566805,7.6740824330972535,0,False
topology_074_t00,74,0,28,5,21,872.0445822413548,11.07931515672577,0.012704987087070005,0.0001634938845749553,2.949903175585207,2.9498884189073564,0.9754465286560943,3.5232536002090797,0,False
topology_074_t00,74,0,29,6,13,767.6005547939899,2.6510542718104375,0.003453689884997455,1.1969312113911928e-05,6.337235140281873,6.337230625356531,0.9951679857072377,6.988611082128336,0,False
topology_074_t00,74,0,30,6,18,902.677682274075,45.26166822596735,0.05014156117379758,0.002646895636419891,4.484342425985616,4.484283946134118,0.9629387264516654,5.038191514492707,0,False
topology_074_t00,74,0,31,7,12,406.3746158173847,32.151673208939684,0.07911831093157624,0.0067975150325749025,2.2401777343891074,2.2399663141314927,0.9565354303603159,3.4703581263619308,0,False
topology_074_t00,74,0,32,7,13,721.3276489245267,6.0738790842776815,0.008420416288400444,7.150551668738446e-05,6.11417831889143,6.114166546263807,0.9977094553642161,6.807332822013089,0,False
topology_074_t00,74,0,33,7,15,295.6804027590526,140.70035519856447,0.475852825840541,0.4320082660438815,4.6127598122722935,4.609689398800812,0.9401998662079035,6.300704411410376,0,False
topology_074_t00,74,0,34,9,11,221.43421081021097,10.571164465330064,0.047739526908019206,0.0023933183134246827,3.283998267493533,3.2837718668617697,0.9763186475397213,5.54177887567282,0,False
topology_074_t00,74,0,35,9,12,604.0722714120636,8.94207928651861,0.01480299578329566,0.000222421184009274,2.567912594092548,2.567887720550625,0.9966434653639703,3.395603250070318,0,False
topology_074_t00,74,0,36,10,12,645.4597656752642,3.8377483506556054,0.00594575921651855,3.5563504696637006e-05,4.247397862000359,4.247388595237287,0.9831110710206589,5.022030217518596,0,False
topology_074_t00,74,0,37,10,15,632.678423793304,79.03941172684125,0.12492825542074029,0.017835187913619252,4.6375484643316325,4.637322815031822,0.9956863913546767,5.427613713529966,0,False
topology_074_t00,74,0,38,10,55,14.749880276495393,2.536010121761165,0.17193428517534565,0.03569933869924418,18.27525127311016,18.261174302993634,0.9560282814952855,52.15975453735477,0,True
topology_074_t00,74,0,39,12,14,120.66310574949793,99.60628410143819,0.8254908033630872,3.9048662166203316,1.564880441540026,1.5256774308881713,0.9718765348593986,5.669446123847415,0,False
topology_074_t00,74,0,40,12,16,873.8746806596025,72.68509491408551,0.08317565037955173,0.007545817057460845,2.8362149678010953,2.836111152609461,0.9460081721949993,3.408275572824267,0,False
topology_074_t00,74,0,41,12,19,439.6480345352009,1.5035850826436155,0.0034199745353876458,1.1736363888336097e-05,5.2525109829225185,5.252503177335709,0.9465191488478183,6.389776543128424,0,False
topology_074_t00,74,0,42,13,16,486.93576254303485,6.970625779196012,0.014315288207199519,0.00020790367751819525,5.929180946000312,5.929151120316923,0.9938803368708413,6.955980608848915,0,False
topology_074_t00,74,0,43,13,17,555.6565242074682,78.66838760642585,0.1415773669149848,0.023349979427435632,4.262501507435163,4.262204692156016,0.9462560852016855,5.1620411526621695,0,False
topology_074_t00,74,0,44,13,18,321.5285536525884,17.74383529086598,0.05518587723950077,0.003223365287761736,3.2121942848154945,3.2120126236788282,0.9860626767853011,4.767084465106168,0,False
topology_074_t00,74,0,45,13,19,250.7102070692287,2.912722389016906,0.011617885139445538,0.0001365618145896867,5.378916167750051,5.378869283153324,0.9438095192670853,7.37320372148728,0,False
topology_074_t00,74,0,46,14,18,952.1909286778299,13.117672927901083,0.01377630529007003,0.0001924376675020284,4.229004549856072,4.228989879748916,0.9723834237714182,4.754094651219778,0,False
topology_074_t00,74,0,47,15,20,628.7768721568278,79.4761792220578,0.12639806383055874,0.018288043877475166,6.150017750984634,6.149787643749277,0.9768801756302155,6.944982286142694,0,False
