snapshot_id,topology_id,timestep,time_of_day,diurnal_factor,flash_event,flash_multiplier,traffic_profile,network_load_mbps,avg_utilization,max_utilization,queue_model
topology_438_t00,438,0,0.0,0.7,0,1.0,web,4221.69217480664,0.22645541360626392,1.2,mm1
topology_438_t01,438,1,2.0,0.7301442841485013,0,1.0,video,8700.55767402793,0.3780180779688936,1.2,mm1
topology_438_t02,438,2,4.0,0.8125,0,1.0,video,9717.27777921793,0.41002385831609617,1.2,mm1
topology_438_t03,438,3,6.0,0.9249999999999999,0,1.0,bulk,13432.5678166199,0.49874960548660663,1.2,mm1
topology_438_t04,438,4,8.0,1.0374999999999999,0,1.0,bulk,15107.19670846017,0.5331612340411662,1.2,mm1
topology_438_t05,438,5,10.0,1.1198557158514988,0,1.0,web,6685.521179516033,0.31193801891759654,1.2,mm1
topology_438_t06,438,6,12.0,1.15,0,1.0,bulk,16780.51848602487,0.5694565320337416,1.2,mm1
topology_438_t07,438,7,14.0,1.1198557158514988,0,1.0,bulk,16667.17471974458,0.5682990200125818,1.2,mm1
topology_438_t08,438,8,16.0,1.0375,1,2.5863748415270242,video,31990.205593273968,0.773314596377001,1.2,mm1
topology_438_t09,438,9,18.0,0.925,0,1.0,video,11001.708304566295,0.44569675011978216,1.2,mm1
topology_438_t10,438,10,20.0,0.8124999999999999,0,1.0,web,4865.507834188494,0.2504966291754591,1.2,mm1
topology_438_t11,438,11,22.0,0.7301442841485013,0,1.0,web,4317.716890796559,0.22798907881680258,1.2,mm1
