edge_id,source,target,bandwidth_mbps,propagation_delay_ms,is_inter_domain,link_reliability,cost
0,0,1,441.6872965008823,2.0984053947256025,False,0.9986703726513526,3.2304279907139417
1,0,14,594.4277392775316,7.748941029372406,False,0.9559827243929452,8.590086162686173
2,0,7,226.24804681985825,5.33714371524295,False,0.9790334579701304,7.54710754488921
3,1,2,493.4550505820895,3.183716386931317,False,0.9953058338856039,4.196979903861967
4,2,3,385.3406488270452,4.686575047226532,False,0.9725985778020481,5.984128268050682
5,3,4,890.6786786866005,3.4436222929440103,False,0.9477928078262661,4.0049919675131855
6,4,5,608.0187704274531,3.124357811657684,False,0.9904376865825102,3.9467008449960908
7,4,22,54.447241754218005,7.457178356593217,True,0.9519909356116361,16.64038000080259
8,5,6,182.655974832094,3.4120836010711684,False,0.9485101488570786,6.149470102988905
9,5,18,16.799006429184242,8.516912980504133,True,0.9443147184003258,38.28057799889296
10,6,7,810.7228287802437,3.87432850477171,False,0.96403628053831,4.49106209392235
11,7,8,254.21228539386252,4.71972404968307,False,0.97165560845636,6.686584145470052
12,7,21,88.95618486848545,9.50973970185006,True,0.9895768856468347,15.130484349782183
13,8,9,786.0866633035381,5.750979330000533,False,0.9539199631821496,6.387041514160666
14,9,10,286.5795270052958,2.8899144460993265,False,0.9427743426970758,4.634630843760072
15,10,11,697.635498477709,4.710074707654126,False,0.9539850522966709,5.426781356170488
16,11,12,333.34781530557746,3.1144434186684076,False,0.9664975213456194,4.614378252624507
17,12,13,252.50071749237446,3.975512221957212,False,0.9505832818638736,5.95570461493566
18,13,14,522.3232900831149,6.532115721549266,False,0.9976122284186035,7.489377267210838
19,15,16,767.0284383029034,5.894291345000453,False,0.9506728182610805,6.546157657944834
20,15,24,392.9084522731806,4.36638621146085,False,0.969833329586602,5.638947280349134
21,15,22,571.0003707232918,2.8760684964787373,False,0.9774186794235129,3.7517246705135197
22,16,17,270.04810898758825,5.573037647723961,False,0.988502971512546,7.4245595927377686
23,17,18,691.3636539473093,3.6340778548791457,False,0.9878098892272243,4.357286252001662
24,18,19,537.9089784867263,2.6285143615793114,False,0.9812486747233056,3.558039653026623
25,19,20,576.8076238253327,3.390784137994843,False,0.9723271794890769,4.257624275585342
26,20,21,764.3466368580254,7.481158663591032,False,0.9627574596085514,8.135312127332735
27,21,22,589.1614367755649,3.101373175235876,False,0.9580859081492499,3.9500370028218454
28,22,23,736.5615605057974,3.5980926790929084,False,0.9935709430944,4.276922564889079
29,23,24,550.4154314461757,6.820945136125563,False,0.9636403355450366,7.729349899935123
