node_id,router_type,capacity_mbps,x_coord,y_coord,domain_id,historical_traffic
0,edge,789.1838312331965,0.6889087637580283,0.0,0,0.4669787474826126
1,gateway,942.8929520761901,0.7588658332055065,0.19691743717686583,0,0.39442109465731423
2,gateway,268.67273976498996,0.6162609408988309,0.14737605856880157,0,0.3773877501541666
3,edge,628.6357295134231,0.5450554566226715,0.1359718100467279,0,0.6263205108448996
4,gateway,705.3560944277245,0.6669855464675108,0.25288956316830097,0,0.5377374399585361
5,core,1579.9839760801071,0.5352680629001398,0.06572178295415569,0,0.523557039968883
6,edge,138.70010318257624,0.6980445176107263,0.3611195307897876,0,0.6270958719847077
7,gateway,588.0748848572421,0.6032175189170937,0.03393901982572588,0,0.29280906912285753
8,core,339.809769938498,0.7767580353207728,0.18115906175612367,0,0.770762128903718
9,gateway,274.53400224849076,0.7468429553017664,0.10499715751307055,0,0.5396886941093798
10,edge,717.9169185922166,0.7309338793798221,0.1099881673536073,0,0.6100812418123593
11,edge,226.98415406864743,0.6493530758487427,0.2606610190399653,0,0.7183814177753538
12,gateway,790.0952528230063,0.5853644993237881,0.11410451128442568,0,0.5608025929049261
13,gateway,1159.9641549894145,0.621790084115585,0.17937232536931835,0,0.6681490846784154
14,edge,473.9104259605613,0.5454034769610412,0.10337720009661047,0,0.4717445195067542
15,gateway,232.08694358808324,0.6843385837003011,0.04246232572015084,0,0.7608393373539158
16,gateway,153.10612314558114,0.7748154861956827,0.2902851877570716,0,0.7389983603605973
17,gateway,924.485301800747,0.632470406176942,0.2924265641566156,0,0.15830431350758828
18,core,328.8574948780488,0.7490030657893508,0.4373501141500393,1,0.71288272843739
19,edge,100.0,0.7315769878449137,0.4531262081423033,1,0.561447566015232
20,gateway,1103.7263021252684,0.7586123983838764,0.4169109315401528,1,0.5122262654417961
21,gateway,217.28271977532694,0.6762089787994406,0.43431096926401813,1,0.14062702308242425
22,edge,606.9961318980597,0.6726252189563341,0.4798807927321164,1,0.6005625012296251
23,edge,763.2334891888139,0.6999986383249366,0.6095222015725041,1,0.5614968279825853
24,gateway,722.5364891980781,0.8622324954072028,0.48128473368643043,1,0.14606308741676305
25,gateway,308.68144063734707,0.7060953319122115,0.6552826432555465,1,0.3136809987278204
26,gateway,570.610277016818,0.7719210076627344,0.5303686798697477,1,0.7195603960727674
27,core,1573.8533561506129,0.7497457684308576,0.5225488930818147,1,0.28778846514890766
28,gateway,406.1261977343532,0.8152699192722113,0.5794845471479956,1,0.38826809122737294
29,gateway,940.0983928973698,0.7683210010520094,0.4233795042539387,1,0.30171866242667034
30,core,806.9782171788736,0.9284453340386196,0.6751886886401683,2,0.7215743489188778
31,edge,633.5709285586363,0.951194808060104,0.692260979268124,2,0.7437030680232475
32,core,489.30056325059724,0.8410526220860371,0.6287650033622462,2,0.1917400010969998
33,edge,775.2672727030755,0.8219735725602928,0.5196083134228453,2,0.7954872388518495
34,gateway,153.1783102102563,0.9226838134369731,0.6891982401838196,2,0.43514941152082043
35,gateway,720.3200402908112,0.8749823579972893,0.7085551544802583,2,0.798963625626162
36,core,1007.1126913973669,0.7944904601559819,0.5685264470794573,2,0.48194141613120567
37,gateway,719.8731082228871,0.7684794761371925,0.5736224540847,2,0.19855625256612722
38,edge,389.3756777800921,0.7828577906938041,0.5785683330645524,2,0.5160920992537423
39,gateway,290.239162090939,0.8759504795824556,0.6102408018630644,2,0.3551483167282854
40,edge,138.27200138732047,0.8590974246899166,0.4064830240581975,2,0.30078602202922794
41,edge,649.833880204905,0.9426442234091064,0.6195180442769057,2,0.23930913849034696
42,gateway,484.16227458665765,0.9935042970887057,0.5986954052514807,2,0.7477798775156078
43,edge,177.7387349172335,0.8440689723692107,0.5208808755016323,2,0.3143828252555816
44,edge,767.4268318272855,0.9810579825722596,0.5698129721593386,2,0.32379494586053315
