edge_id,source,target,bandwidth_mbps,propagation_delay_ms,is_inter_domain,link_reliability,cost
0,0,1,741.6093482103571,1.0591369414063543,False,0.998231691051638,1.7333463499131296
1,0,52,391.83998209079704,2.7236840373076046,False,0.9939038804493433,3.999715128703837
2,0,13,245.20338273442616,4.433396702523415,False,0.9455296311117526,6.472520284034269
3,0,41,845.9131074103869,4.348398988916456,False,0.9827706347687452,4.939476246875801
4,0,40,795.0167954719062,5.613068037644165,False,0.9460530083750821,6.241985568503636
5,0,26,222.60090746209468,3.6930718908852995,False,0.9730494686277684,5.939244225493333
6,1,3,521.0848077362623,1.565385776293696,False,0.9668724999894625,2.5249224823668195
7,1,53,671.765535842305,2.973809438838699,False,0.9666240780271992,3.718116750426314
8,1,45,418.9905009400544,2.192847839544343,False,0.9693345438453184,3.386192316037703
9,1,17,764.1323371266393,3.709810721973071,False,0.9525827692254957,4.364147642041322
10,2,16,919.0971863762367,2.326256745962885,False,0.963036648998522,2.870268856337601
11,2,44,532.2404220972196,4.5030393222298795,False,0.9969796144410337,5.442464400148275
12,3,4,488.9728902672601,3.203586880188798,False,0.9849779775798688,4.226138457080337
13,3,5,332.7583688108474,3.352736021152804,False,0.9736137345964202,4.8553278321020255
14,4,5,131.61733572031153,4.354111104978324,False,0.9486767183152488,8.153002772733295
15,4,6,739.583440557446,2.9121539034644597,False,0.9963038339981132,3.5882101434786158
16,5,6,525.8485735105818,4.362997361466327,False,0.9622798199230693,5.313841435573031
17,5,7,346.60640912355746,1.8400343618181256,False,0.988613609964203,3.2825927993967023
18,5,10,359.749240280107,1.554534876531365,False,0.9430718571217247,2.9443918769539126
19,6,7,353.73819168776674,2.4274211165734227,False,0.9544825904313786,3.8408958607461803
20,6,8,839.1066300380367,2.577924781904629,False,0.9897820986766434,3.1737966080840208
21,6,37,971.6269442357217,2.8727543080166904,False,0.9485130934236783,3.3873551051295148
22,6,46,615.9712937903298,1.3030093993528404,False,0.9731078897430951,2.1147355382826114
23,7,8,732.3265228099299,3.2176594644470953,False,0.9403156317589709,3.900415017368359
24,7,9,665.8616374157899,1.5191986049869435,False,0.9682317487957265,2.2701053578380326
25,7,20,831.2507347684776,2.817423240683023,False,0.9749894445067331,3.4189264683935665
26,7,31,879.1443324212809,3.5863610529818537,False,0.9734243302226157,4.155095880200649
27,8,9,721.1420448222303,3.031974352073393,False,0.9513325467539835,3.7253190316548697
28,8,10,356.9326265908007,5.333234557218309,False,0.9848944888198,6.734059146373103
29,9,11,811.7775805560848,3.0303542237346073,False,0.9828332221826721,3.646286483969596
30,9,39,532.4377093604409,2.3896002106385144,False,0.9479034429952399,3.328677197880074
31,10,15,990.7841577206582,6.469757417249236,False,0.9434014260501503,6.974408199262416
32,11,24,361.8540806892286,4.91767314134415,False,0.9714951752289749,6.2994455924040995
33,11,34,787.7884626083166,2.134916197129745,False,0.9947597878681465,2.76960434468719
34,11,15,730.7025528027968,4.250013466461341,False,0.9718678491913142,4.934286428259711
35,12,13,831.3117886782645,3.3155424127137003,False,0.9721257095309407,3.917001464310899
36,12,14,683.2242967665705,4.074138424774098,False,0.9478024183130714,4.8059625158761
